Track URI,Track Name,song_tracking_id,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:77cVT85pU7WH3elC1SE7Uu,Donuts (Outro),song_001,Donuts,J Dilla,2/7/2006,12666,4,FALSE,1220903884,2026-05-01T20:22:13Z,"plunderphonics,alternative hip hop,jazz rap",Stones Throw Records,,,,,,,,,,,,
spotify:track:33T6ABvdB3P2iYOWJnBjsQ,Workinonit,song_002,Donuts,J Dilla,2/7/2006,177120,51,FALSE,1220903884,2026-05-01T20:22:13Z,"plunderphonics,alternative hip hop,jazz rap",Stones Throw Records,0.651,0.695,11,-7.497,0,0.244,0.0714,0.498,0.585,0.543,92.981,4
spotify:track:61WmlU4oDK5eBUhiMYZT1E,Waves,song_003,Donuts,J Dilla,2/7/2006,98506,45,FALSE,1220903884,2026-05-01T20:22:13Z,"plunderphonics,alternative hip hop,jazz rap",Stones Throw Records,0.54,0.522,10,-8.115,0,0.28,0.448,0.602,0.123,0.534,89.827,4
spotify:track:2O9oKwcnTJLQ78flwABgvL,Light It,song_004,Donuts,J Dilla,2/7/2006,35640,44,FALSE,1220903884,2026-05-01T20:22:13Z,"plunderphonics,alternative hip hop,jazz rap",Stones Throw Records,0.501,0.809,6,-8.547,1,0.331,0.00435,0.0164,0.78,0.832,97.813,4
spotify:track:5oGB1t4SFX3IIlOZmmJY7w,The New,song_005,Donuts,J Dilla,2/7/2006,49893,46,FALSE,1220903884,2026-05-01T20:22:13Z,"plunderphonics,alternative hip hop,jazz rap",Stones Throw Records,0.295,0.89,0,-5.966,0,0.657,0.000684,0.00919,0.36,0.659,175.132,4
spotify:track:2ihoQNPyX4AAeMB9f3uw0j,Stop,song_006,Donuts,J Dilla,2/7/2006,99026,49,FALSE,1220903884,2026-05-01T20:22:13Z,"plunderphonics,alternative hip hop,jazz rap",Stones Throw Records,0.413,0.753,6,-7.692,0,0.188,0.203,0.0204,0.647,0.471,85.899,3
spotify:track:1rY5uaNy8coQmDpHkm3VfO,People,song_007,Donuts,J Dilla,2/7/2006,83986,42,FALSE,1220903884,2026-05-01T20:22:13Z,"plunderphonics,alternative hip hop,jazz rap",Stones Throw Records,0.739,0.598,4,-12.124,0,0.217,0.535,0.58,0.107,0.53,97.53,4
spotify:track:35UF2cErr3AAVkBH3oYekU,The Diff'rence,song_008,Donuts,J Dilla,2/7/2006,112493,44,FALSE,1220903884,2026-05-01T20:22:13Z,"plunderphonics,alternative hip hop,jazz rap",Stones Throw Records,0.447,0.69,2,-6.733,1,0.0673,0.0188,0.613,0.264,0.646,99.263,4
spotify:track:0LUrVZU02VWXqOD9UZaZ6t,Mash,song_009,Donuts,J Dilla,2/7/2006,91080,43,FALSE,1220903884,2026-05-01T20:22:13Z,"plunderphonics,alternative hip hop,jazz rap",Stones Throw Records,0.669,0.812,8,-6.463,0,0.253,0.581,0.863,0.412,0.269,101.583,4
spotify:track:6ywnTBL62OTd8HUaztJizb,Time: The Donut of the Heart,song_010,Donuts,J Dilla,2/7/2006,98720,52,FALSE,1220903884,2026-05-01T20:22:13Z,"plunderphonics,alternative hip hop,jazz rap",Stones Throw Records,0.419,0.713,5,-8.867,0,0.0975,0.0685,0.541,0.291,0.555,186.788,4
spotify:track:7qJsI11A1cpeYuUH4xdcIn,Glazed,song_011,Donuts,J Dilla,2/7/2006,81133,41,FALSE,1220903884,2026-05-01T20:22:13Z,"plunderphonics,alternative hip hop,jazz rap",Stones Throw Records,0.224,0.802,10,-8.151,0,0.626,0.0045,0.166,0.198,0.653,190.463,4
spotify:track:6JDQWWAOoMf1aKbBfZPkja,Airworks,song_012,Donuts,J Dilla,2/7/2006,104560,42,FALSE,1220903884,2026-05-01T20:22:13Z,"plunderphonics,alternative hip hop,jazz rap",Stones Throw Records,0.489,0.602,7,-7.801,1,0.068,0.501,0.117,0.354,0.608,90.11,4
spotify:track:0TIItu69NmCbgvJUD0Zbnb,Lightworks,song_013,Donuts,J Dilla,2/7/2006,115280,41,FALSE,1220903884,2026-05-01T20:22:13Z,"plunderphonics,alternative hip hop,jazz rap",Stones Throw Records,0.451,0.775,2,-6.983,1,0.379,0.497,0.00335,0.198,0.278,93.315,4
spotify:track:5zzCiLdhGnufBc9IfPUn4o,Stepson Of The Clapper,song_014,Donuts,J Dilla,2/7/2006,61400,40,FALSE,1220903884,2026-05-01T20:22:13Z,"plunderphonics,alternative hip hop,jazz rap",Stones Throw Records,0.623,0.683,1,-7.853,1,0.325,0.0485,0.655,0.312,0.191,99.423,4
spotify:track:0gYCvpwW3hIcIcbBscxVBN,"The Twister (Huh, What)",song_015,Donuts,J Dilla,2/7/2006,76960,39,FALSE,1220903884,2026-05-01T20:22:13Z,"plunderphonics,alternative hip hop,jazz rap",Stones Throw Records,0.292,0.885,5,-5.644,0,0.305,0.0108,0.233,0.352,0.77,194.977,4
spotify:track:4WZf36CHSQ5qdiQiWpww8x,One Eleven,song_016,Donuts,J Dilla,2/7/2006,71013,41,FALSE,1220903884,2026-05-01T20:22:13Z,"plunderphonics,alternative hip hop,jazz rap",Stones Throw Records,0.378,0.661,1,-8.71,1,0.443,0.0288,0.00475,0.684,0.412,175.308,4
spotify:track:3YN2Q4dBTFZFXOJv5e4MiE,Two Can Win,song_017,Donuts,J Dilla,2/7/2006,107293,48,FALSE,1220903884,2026-05-01T20:22:13Z,"plunderphonics,alternative hip hop,jazz rap",Stones Throw Records,0.387,0.761,10,-9.68,0,0.41,0.011,0.224,0.775,0.807,185.182,4
spotify:track:67c5M9gVWemCV5SGH5cc4v,Don't Cry,song_018,Donuts,J Dilla,2/7/2006,119386,57,FALSE,1220903884,2026-05-01T20:22:13Z,"plunderphonics,alternative hip hop,jazz rap",Stones Throw Records,0.23,0.772,1,-6.349,1,0.342,0.054,0.000138,0.644,0.589,173.377,5
spotify:track:2mE1fmoHkbAqPAzx79nE9C,Anti-American Graffiti,song_019,Donuts,J Dilla,2/7/2006,113720,41,FALSE,1220903884,2026-05-01T20:22:13Z,"plunderphonics,alternative hip hop,jazz rap",Stones Throw Records,0.444,0.882,1,-7.508,1,0.371,0.0126,0.0834,0.66,0.342,181.371,4
spotify:track:3YkI9IyYXFwh3smgfLrH7C,Geek Down,song_020,Donuts,J Dilla,2/7/2006,79520,39,FALSE,1220903884,2026-05-01T20:22:13Z,"plunderphonics,alternative hip hop,jazz rap",Stones Throw Records,0.595,0.707,10,-6.564,0,0.343,0.00528,0.0502,0.293,0.559,92.736,4
spotify:track:5Fv7WqhuAR4HP0qUnAtZGp,Thunder,song_021,Donuts,J Dilla,2/7/2006,54160,38,FALSE,1220903884,2026-05-01T20:22:13Z,"plunderphonics,alternative hip hop,jazz rap",Stones Throw Records,0.574,0.595,1,-8.957,1,0.109,0.000214,0.67,0.309,0.61,188.484,4
spotify:track:39XY5TmM47I3WsO07knVZg,Gobstopper,song_022,Donuts,J Dilla,2/7/2006,65172,41,FALSE,1220903884,2026-05-01T20:22:13Z,"plunderphonics,alternative hip hop,jazz rap",Stones Throw Records,0.368,0.791,2,-6.889,1,0.169,0.0156,0.741,0.162,0.723,174.28,4
spotify:track:08BY6BAxMOZ76RKIcupvXR,One For Ghost,song_023,Donuts,J Dilla,2/7/2006,78226,40,FALSE,1220903884,2026-05-01T20:22:13Z,"plunderphonics,alternative hip hop,jazz rap",Stones Throw Records,0.591,0.543,2,-8.253,1,0.0722,0.322,0.852,0.285,0.366,85.012,4
spotify:track:1eXL25uYRJCz39GkqbNNQG,Dilla Says Go,song_024,Donuts,J Dilla,2/7/2006,76400,41,FALSE,1220903884,2026-05-01T20:22:13Z,"plunderphonics,alternative hip hop,jazz rap",Stones Throw Records,0.415,0.509,1,-9.942,0,0.548,0.594,0.0000908,0.456,0.704,141.871,3
spotify:track:4JggVVHiX7dV8lb3Y1kRUY,Walkinonit,song_025,Donuts,J Dilla,2/7/2006,75053,39,FALSE,1220903884,2026-05-01T20:22:13Z,"plunderphonics,alternative hip hop,jazz rap",Stones Throw Records,0.654,0.759,10,-7.915,0,0.292,0.68,0.341,0.388,0.381,96.261,4
spotify:track:0kqyNHeLJQmoIR61CSFleG,The Factory,song_026,Donuts,J Dilla,2/7/2006,83786,37,FALSE,1220903884,2026-05-01T20:22:13Z,"plunderphonics,alternative hip hop,jazz rap",Stones Throw Records,0.783,0.464,1,-6.759,1,0.317,0.244,0.0397,0.124,0.68,95.814,4
spotify:track:4S6Bo2c9FzVaq0vdqqLqgU,U-Love,song_027,Donuts,J Dilla,2/7/2006,60866,49,FALSE,1220903884,2026-05-01T20:22:13Z,"plunderphonics,alternative hip hop,jazz rap",Stones Throw Records,0.47,0.792,5,-6.242,0,0.411,0.74,0.000033,0.708,0.559,180.685,4
spotify:track:4ZlU0TE4Gm0AVFiqGnMzoq,Hi.,song_028,Donuts,J Dilla,2/7/2006,76720,39,FALSE,1220903884,2026-05-01T20:22:13Z,"plunderphonics,alternative hip hop,jazz rap",Stones Throw Records,0.327,0.313,5,-8.554,1,0.0449,0.0292,0.196,0.199,0.258,81.682,4
spotify:track:294yHgLAZpqWzCgRRbdvDM,Bye.,song_029,Donuts,J Dilla,2/7/2006,87573,42,FALSE,1220903884,2026-05-01T20:22:13Z,"plunderphonics,alternative hip hop,jazz rap",Stones Throw Records,0.602,0.405,1,-9.387,1,0.106,0.637,0.73,0.106,0.514,89.871,4
spotify:track:2zdg5ICoK5WGKCpX1LAdOf,Last Donut Of The Night,song_030,Donuts,J Dilla,2/7/2006,99600,44,FALSE,1220903884,2026-05-01T20:22:13Z,"plunderphonics,alternative hip hop,jazz rap",Stones Throw Records,0.536,0.662,10,-7.384,0,0.385,0.375,0.466,0.444,0.472,80.727,4
spotify:track:6YbfTiImEm6kH6gRXpdtgR,Welcome To The Show,song_031,Donuts,J Dilla,2/7/2006,71666,45,FALSE,1220903884,2026-05-01T20:22:13Z,"plunderphonics,alternative hip hop,jazz rap",Stones Throw Records,0.288,0.725,10,-4.651,0,0.455,0.000068,0.00000309,0.636,0.436,181.391,4
spotify:track:2ej1A2Ze6P2EOW7KfIosZR,Feather (feat. Cise Starr & Akin from CYNE),song_032,Modal Soul,Nujabes;Cise Starr & Akin from CYNE,11/11/2005,175360,69,TRUE,1220903884,2026-05-01T20:22:35Z,jazz rap,Hydeout Productions,0.565,0.749,10,-6.629,0,0.0769,0.655,0.432,0.106,0.881,180.598,4
spotify:track:6zYBZOP6SuKa5JszwpAz7Z,ordinary joe (feat. Terry Callier),song_033,Modal Soul,Nujabes;Terry Callier,11/11/2005,308040,50,FALSE,1220903884,2026-05-01T20:22:35Z,"jazz rap,northern soul",Hydeout Productions,0.719,0.961,11,-4.613,0,0.0649,0.176,0.72,0.0828,0.458,120.015,4
spotify:track:6eGMwVVABqVTe9bWRIm498,reflection eternal,song_034,Modal Soul,Nujabes,11/11/2005,257893,58,FALSE,1220903884,2026-05-01T20:22:35Z,jazz rap,Hydeout Productions,0.842,0.464,2,-12.628,1,0.0418,0.429,0.789,0.0978,0.771,93.966,4
spotify:track:4xlpJ99yL9xYQtzG6c3hwk,Luv(sic.) pt3 (feat. Shing02),song_035,Modal Soul,Nujabes;Shing02,11/11/2005,336866,66,FALSE,1220903884,2026-05-01T20:22:35Z,"jazz rap,j-rap",Hydeout Productions,0.866,0.691,5,-4.371,0,0.0478,0.727,0.503,0.0737,0.87,94.997,4
spotify:track:45ejirK0hfPnsjgzj3s7gP,Music is mine,song_036,Modal Soul,Nujabes,11/11/2005,260466,49,FALSE,1220903884,2026-05-01T20:22:35Z,jazz rap,Hydeout Productions,0.672,0.767,6,-6.845,0,0.0546,0.231,0.815,0.356,0.503,105.987,4
spotify:track:7mEPuj0XW6eK14Unu6IUc1,Eclipse (feat. Substantial),song_037,Modal Soul,Nujabes;Substantial,11/11/2005,214333,50,FALSE,1220903884,2026-05-01T20:22:35Z,jazz rap,Hydeout Productions,0.596,0.777,11,-11.963,0,0.262,0.251,0.0717,0.206,0.642,95.65,4
spotify:track:2g8vK3m0npTrzsADQAnbVO,The Sign (feat. Pase Rock),song_038,Modal Soul,Nujabes;Pase Rock,11/11/2005,289800,47,FALSE,1220903884,2026-05-01T20:22:35Z,jazz rap,Hydeout Productions,0.548,0.849,4,-7.287,0,0.457,0.774,0.00000303,0.408,0.585,71.081,4
