SongID,Song Name,Artist,Album,Run Time (seconds)
song_001,Donuts (Outro),J Dilla,Donuts,12
song_002,Workinonit,J Dilla,Donuts,177
song_003,Waves,J Dilla,Donuts,98
song_004,Light It,J Dilla,Donuts,35
song_005,The New,J Dilla,Donuts,49
song_006,Stop,J Dilla,Donuts,99
song_007,People,J Dilla,Donuts,83
song_008,The Diff'rence,J Dilla,Donuts,112
song_009,Mash,J Dilla,Donuts,91
song_010,Time: The Donut of the Heart,J Dilla,Donuts,98
song_011,Glazed,J Dilla,Donuts,81
song_012,Airworks,J Dilla,Donuts,104
song_013,Lightworks,J Dilla,Donuts,115
song_014,Stepson Of The Clapper,J Dilla,Donuts,61
song_015,"The Twister (Huh, What)",J Dilla,Donuts,76
song_016,One Eleven,J Dilla,Donuts,71
song_017,Two Can Win,J Dilla,Donuts,107
song_018,Don't Cry,J Dilla,Donuts,119
song_019,Anti-American Graffiti,J Dilla,Donuts,113
song_020,Geek Down,J Dilla,Donuts,79
song_021,Thunder,J Dilla,Donuts,54
song_022,Gobstopper,J Dilla,Donuts,65
song_023,One For Ghost,J Dilla,Donuts,78
song_024,Dilla Says Go,J Dilla,Donuts,76
song_025,Walkinonit,J Dilla,Donuts,75
song_026,The Factory,J Dilla,Donuts,83
song_027,U-Love,J Dilla,Donuts,60
song_028,Hi.,J Dilla,Donuts,76
song_029,Bye.,J Dilla,Donuts,87
song_030,Last Donut Of The Night,J Dilla,Donuts,99
song_031,Welcome To The Show,J Dilla,Donuts,71
song_032,Feather,Nujabes,Modal Soul,175
song_033,Ordinary Joe,Nujabes,Modal Soul,307
song_034,Reflection Eternal,Nujabes,Modal Soul,157
song_035,Luv (Sic) Part 3,Nujabes,Modal Soul,336
song_036,Music is Mine,Nujabes,Modal Soul,260
song_037,Eclipse,Nujabes,Modal Soul,214
song_038,The Sign,Nujabes,Modal Soul,289
song_039,Thank You,Nujabes,Modal Soul,249
song_040,World's End Rhapsody,Nujabes,Modal Soul,341
song_041,Modal Soul,Nujabes,Modal Soul,281
song_042,Flowers,Nujabes,Modal Soul,239
song_043,Sea of Cloud,Nujabes,Modal Soul,181
song_044,Light on the Land,Nujabes,Modal Soul,235
song_045,Horizon,Nujabes,Modal Soul,440
song_046,The Illest Villains,Madvillain,Madvillainy,115
song_047,Accordion,Madvillain,Madvillainy,118
song_048,Meat Grinder,Madvillain,Madvillainy,131
song_049,Bistro,Madvillain,Madvillainy,67
song_050,Raid,Madvillain,Madvillainy,150
song_051,America's Most Blunted,Madvillain,Madvillainy,234
song_052,Sickfit,Madvillain,Madvillainy,81
song_053,Rainbows,Madvillain,Madvillainy,171
song_054,Curls,Madvillain,Madvillainy,95
song_055,Do Not Fire!,Madvillain,Madvillainy,52
song_056,Money Folder,Madvillain,Madvillainy,182
song_057,Shadows of Tomorrow,Madvillain,Madvillainy,156
song_058,Operation Lifesaver AKA Mint Test,Madvillain,Madvillainy,90
song_059,Figaro,Madvillain,Madvillainy,145
song_060,Hardcore Hustle,Madvillain,Madvillainy,81
song_061,Strange Ways,Madvillain,Madvillainy,111
song_062,Fancy Clown,Madvillain,Madvillainy,115
song_063,Eye,Madvillain,Madvillainy,117
song_064,Supervillain Theme,Madvillain,Madvillainy,52
song_065,All Caps,Madvillain,Madvillainy,130
song_066,Great Day,Madvillain,Madvillainy,136
song_067,Rhineston Cowboy,Madvillain,Madvillainy,239
song_068,Wacced Out Murals,Kendrick Lamar,GNX,317
song_069,Squabble Up,Kendrick Lamar,GNX,157
song_070,Luther,Kendrick Lamar,GNX,177
song_071,Man at the Garden,Kendrick Lamar,GNX,233
song_072,Hey Now,Kendrick Lamar,GNX,217
song_073,Reincarnated,Kendrick Lamar,GNX,275
song_074,Tv Off,Kendrick Lamar,GNX,220
song_075,Dodger Blue,Kendrick Lamar,GNX,131
song_076,Peekaboo,Kendrick Lamar,GNX,155
song_077,Heart pt 6,Kendrick Lamar,GNX,292
song_078,GNX,Kendrick Lamar,GNX,193
song_079,Gloria,Kendrick Lamar,GNX,287
song_080,1985,Freddie Gibbs,Alfredo,152
song_081,God is Perfect,Freddie Gibbs,Alfredo,239
song_082,Scottie Beam,Freddie Gibbs,Alfredo,244
song_083,Look at Me,Freddie Gibbs,Alfredo,153
song_084,Frank Lucas,Freddie Gibbs,Alfredo,281
song_085,Somethin to Rap About,Freddie Gibbs,Alfredo,282
song_086,Baby $hit,Freddie Gibbs,Alfredo,216
song_087,Babies & Fools,Freddie Gibbs,Alfredo,206
song_088,Skinny Suge,Freddie Gibbs,Alfredo,172
song_089,All Glass,Freddie Gibbs,Alfredo,153
song_090,Doomsday,MF DOOM,Operation Doomsday,298
